Text,Language
nature in the broadest sense is the natural physical material world or universe,English
nature can refer to the phenomena of the physical world and also to life in general,English
the study of nature is a large if not the only part of science,English
although humans are part of nature human activity is often understood as a separate category from other natural phenomena,English
the word nature is borrowed from the old french nature and is derived from the latin word natura or essential qualities innate disposition and in ancient times literally meant birth,English
in ancient philosophy natura is mostly used as the latin translation of the greek word physis which originally related to the intrinsic characteristics that plants animals and other features of the world develop of their own accord,English
the concept of nature as a whole the physical universe is one of several expansions of the original notion it began with certain core applications of the word by pre socratic philosophers though this word had a dynamic dimension then especially for heraclitus and has steadily gained currency ever since,English
during the advent of modern scientific method in the last several centuries nature became the passive reality organized and moved by divine laws,English
with the industrial revolution nature increasingly became seen as the part of reality deprived from intentional intervention it was hence considered as sacred by some traditions rousseau american transcendentalism or a mere decorum for divine providence or human history hegel marx,English
however a vitalist vision of nature closer to the presocratic one got reborn at the same time especially after charles darwin,English
within the various uses of the word today nature often refers to geology and wildlife,English
nature can refer to the general realm of living plants and animals and in some cases to the processes associated with inanimate objects the way that particular types of things exist and change of their own accord such as the weather and geology of the earth,English
it is often taken to mean the natural environment or wilderness wild animals rocks forest and in general those things that have not been substantially altered by human intervention or which persist despite human intervention,English
for example manufactured objects and human interaction generally are not considered part of nature unless qualified as for example human nature or the whole of nature,English
this more traditional concept of natural things that can still be found today implies a distinction between the natural and the artificial with the artificial being understood as that which has been brought into being by a human consciousness or a human mind,English
depending on the particular context the term natural might also be distinguished from the unnatural or the supernatural,English
earth is the only planet known to support life and its natural features are the subject of many fields of scientific research,English
within the solar system it is third closest to the sun it is the largest terrestrial planet and the fifth largest overall,English
its most prominent climatic features are its two large polar regions two relatively narrow temperate zones and a wide equatorial tropical to subtropical region,English
precipitation varies widely with location from several metres of water per year to less than a millimetre,English
percent of the earth s surface is covered by salt water oceans,English
the remainder consists of continents and islands with most of the inhabited land in the northern hemisphere,English
earth has evolved through geological and biological processes that have left traces of the original conditions,English
the outer surface is divided into several gradually migrating tectonic plates,English
the interior remains active with a thick layer of plastic mantle and an iron filled core that generates a magnetic field,English
this iron core is composed of a solid inner phase and a fluid outer phase,English
convective motion in the core generates electric currents through dynamo action and these in turn generate the geomagnetic field,English
the atmospheric conditions have been significantly altered from the original conditions by the presence of life forms which create an ecological balance that stabilizes the surface conditions,English
despite the wide regional variations in climate by latitude and other geographic factors the long term average global climate is quite stable during interglacial periods and variations of a degree or two of average global temperature have historically had major effects on the ecological balance and on the actual geography of the earth,English
geology is the science and study of the solid and liquid matter that constitutes the earth,English
the field of geology encompasses the study of the composition structure physical properties dynamics and history of earth materials and the processes by which they are formed moved and changed,English
